t,dist_m1,dist_m2,dist_m3,valid_m1,valid_m2,valid_m3
1612483846.7108953,6.619999885559082,14.086000442504883,9.0100002288818359,1,1,1
1612483846.8108859,6.5679998397827148,13.987000465393066,8.9630002975463867,1,1,1
1612483846.9108918,6.5260000228881836,13.987000465393066,8.9820003509521484,1,1,1
1612483847.0108786,6.5209999084472656,0,0,1,0,0
1612483847.4125113,6.3340001106262207,13.828000068664551,8.9820003509521484,1,1,1
1612483847.5108628,6.2919998168945312,13.819000244140625,8.944000244140625,1,1,1
1612483847.610966,6.2919998168945312,13.777000427246094,8.8649997711181641,1,1,1
1612483847.7109277,6.2919998168945312,13.687999725341797,8.8039999008178711,1,1,1
1612483847.810925,6.3299999237060547,13.654999732971191,0,1,1,0
1612483847.908535,6.2829999923706055,0,0,1,0,0
1612483880.8135457,6.5399999618530273,0,0,1,0,0
1612483881.6076043,6.5489997863769531,0,0,1,0,0
1612483886.4123614,6.5450000762939453,0,0,1,0,0
1612483886.5106208,6.5489997863769531,0,0,1,0,0
1612483886.6083877,6.5590000152587891,0,0,1,0,0
1612483887.2085075,6.4930000305175781,0,0,1,0,0
1612483887.3085666,6.4930000305175781,0,0,1,0,0
1612483889.0127971,6.3899998664855957,0,0,1,0,0
1612483889.1087742,6.3810000419616699,0,0,1,0,0
1612483889.2087955,6.3340001106262207,0,0,1,0,0
1612483889.3087909,6.3390002250671387,0,0,1,0,0
1612483889.4088132,6.2729997634887695,0,0,1,0,0
1612483890.0131345,0,0,0,0,0,0
1612483890.6090093,6.1840000152587891,0,0,1,0,0
1612483890.7090487,6.1609997749328613,0,0,1,0,0
1612483890.8090196,6.1469998359680176,0,0,1,0,0
1612483892.0131948,6.1750001907348633,0,0,1,0,0
1612483892.4092958,6.1560001373291016,0,0,1,0,0
1612483892.5093031,6.1789999008178711,0,0,1,0,0
1612483892.6093473,6.1750001907348633,0,0,1,0,0
1612483892.7094026,6.1649999618530273,0,0,1,0,0
1612483892.8093865,6.1560001373291016,0,0,1,0,0
1612483892.9094031,6.2080001831054688,0,0,1,0,0
1612483893.6054351,6.1469998359680176,0,0,1,0,0
1612483893.7117634,0,0,0,0,0,0
